link,make_again,name,rating,summary,tag
/recipes/food/views/thai-style-squid-and-cucumber-salad,50%,Thai-Style Squid and Cucumber Salad,2.5,"Tossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own.",recipe
/recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad,100%,Spicy Grilled Chicken with Crunchy Fennel Salad,4.0,"This chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead.",recipe
/recipes/food/views/grilled-salmon-with-meyer-lemons-and-creamy-cucumber-salad,60%,Lemon Salmon with Creamy Cucumber Salad,2.5,"Marinate salmon in lemon zest and fresh dill, then grill and serve with crunchy chopped cucumbers draped in a coleslaw-like dressing.",recipe
/recipes/food/views/smashed-cucumber-salad-with-hot-vinegar,0%,Smashed Cucumber Salad with Hot Vinegar,0.0,"Cucumbers are practically all water, so you gotta dress them like you mean it. This hot, sweet, and tart dressing will have them covered.",recipe
/recipes/food/views/sams-spring-cucumber-radish-fattoush-salad,100%,Sam's Spring Fattoush Salad,4.0,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.,recipe
/recipes/food/views/skirt-steak-with-spicy-coconut-dressing,100%,Skirt Steak with Spicy Coconut Dressing,4.0,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.,recipe
/recipes/food/views/mango-toast-with-hazelnut-pepita-butter,0%,Mango Toast with Hazelnut-Pepita Butter,0.0,"Savory fruit toast is the new avocado toast. Other combinations we’re crushing on: lemony yogurt with cucumbers, almond butter and pears.",recipe
/recipes/food/views/quick-pickled-charred-grilled-vegetables,100%,Quick-Pickled Charred Vegetables,4.0,This technique is nothing short of amazing—even if you're finicky about your pickles.,recipe
/recipes/food/views/green-beans-and-cucumbers-with-miso-dressing,88%,Green Beans and Cucumbers with Miso Dressing,3.5,"Crushing and smashing green beans and cucumbers sounds crazy, but it creates nooks and crannies to soak up as much umami-rich miso sauce as possible. And this is a dressing you'll want a lot of.",recipe
/recipes/food/views/fish-milanese-with-cucumber-ceviche,100%,Crispy Fish Fillets with Cucumber Ceviche,4.0,"Serve panko-crusted white fish with a piquant relish of cucumbers, fennel, and chiles, kissed with both lime and cilantro.",recipe
/recipes/food/views/thai-style-pineapple-coconut-rice,100%,Thai-Style Pineapple-Coconut Rice,3.0,"Keep the accompaniments simple by serving with a platter of sliced baked tofu, cucumbers, tomatoes, and baby carrots.",recipe
/recipes/food/views/rice-noodles-with-peanut-sauce-chicken-and-snap-peas,100%,Peanut Noodles with Chicken and Snap Peas,3.5,"Featuring an easy make-ahead peanut sauce, these chicken noodle bowls come together in no time at all.",recipe
/recipes/food/views/thai-beef-salad,100%,Thai Beef Salad,4.0,"We eat this salad—which is a great way to stretch a piece of beef—all year long for lunch and dinner, but it's particularly good during the warmer months. The thinly sliced meat, the crunch of the cucumbers and red onions, and the heady aroma of mint and cilantro tossed with the chile-spiked salty-sweet dressing seem made for hot days and nights.",recipe
/recipes/food/views/smashed-cucumbers-and-radishes-in-yogurt-sauce,0%,Smashed Cucumbers and Radishes in Yogurt Sauce,0.0,"Wheels of cucumbers and radishes are nice and all, but smashing them into ragged pieces is way more fun.",recipe
/recipes/food/views/herby-chicken-kofta-meatballs,88%,Chicken Kofta Meatballs,3.5,Make a big batch of these spicy herbed meatballs and stash them in your freezer and you’ll always have the building blocks for an easy weeknight dinner on hand.,recipe
/recipes/food/views/teriyaki-steak-skewers-with-asian-style-greens,0%,Teriyaki Steak Skewers with Asian-Style Greens,1.0,"These steak kebabs are marinated in soy-ginger sauce, and served over a salad of bok choy, kale, and cucumbers.",recipe
/recipes/food/views/yogurt-with-raisins-cucumber-and-walnuts,0%,"Yogurt with Raisins, Cucumber, and Walnuts",0.0,"Mast, which translates to yogurt in Farsi, is a staple side dish on most Persian tables. The yogurt can be mixed with shallots, grated cooked beets, cooked spinach, or, most commonly, with Persian cucumbers, mint, and dried rose.",recipe
/recipes/food/views/fast-favorite-garlic-dill-pickles-230707,71%,Favorite Dill Pickles,3.5,"Often called kosher-style dill pickles, these are quick to make. Use either small whole cucumbers or cut larger ones into quarters. For an additional interesting flavor, tuck a small dried hot red pepper into each jar.",recipe
/recipes/food/views/kale-and-cucumber-salad-with-roasted-ginger-dressing,73%,Kale and Cucumber Salad with Ginger Dressing,3.0,"A Vietnamese-inspired ginger dressing and plenty of cooling, crunchy cucumbers takes kale salad from ""not now"" to ""hey, wow!""",recipe
/recipes/food/views/chilled-beet-soup-with-buttermilk-cucumbers-and-dill-chlodnik,87%,"Chilled Beet Soup with Buttermilk, Cucumbers, and Dill (Chlodnik)",3.5,This classic Polish soup is the ultimate in summer refreshment.,recipe
/recipes/food/views/flatbread-with-fava-beans-cucumbers-and-burrata,100%,"Flatbread with Fava Beans, Cucumbers, and Burrata",4.0,Fava beans most likely require a trip to a farmers’ market and take a while to peel. Sugar snap peas cut into bite-size pieces are a fine alternative.,recipe
/recipes/food/views/moroccan-skirt-steak-salad-with-chermoula,75%,Moroccan Skirt Steak Salad With Chermoula,3.0,"A fragrant, herbaceous sauce acts as both a marinade and a dressing for this pretty, Moroccan-inspired salad.",recipe
/recipes/food/views/cucumber-and-raisin-relish-with-mustard-seeds,100%,Cucumber and Raisin Relish With Mustard Seeds,4.0,"Golden raisins add a bright sweetness to this fresh take on sweet-and-sour pickles. Serve it with our Cider-Brined, Maple-Glazed Pork Loin, spread it onto sandwiches, or use it to top hot dogs.",recipe
/recipes/food/views/fresh-dill-cucumbers-with-lemon,0%,Fresh Dill Cucumbers with Lemon,0.0,Fresh Dill Cucumbers with Lemon,recipe
/recipes/food/views/crispy-pork-lettuce-wraps-with-spicy-cucumbers-56390119,100%,Crispy Pork Lettuce Wraps,4.0,"Sweet and spicy pork belly lettuce wraps—served with a refreshing cucumber salad—are a cool, crunchy dinner for sweltering August nights.",recipe
/recipes/food/views/miso-cured-black-cod-with-chilled-cucumbers-56389995,0%,Miso-Cured Black Cod with Chilled Cucumbers,1.0,Pro tip: Viva brand paper towels are used at Rintaro specifically for insulating the cod from its salty cure and will absorb moisture without falling apart.,recipe
/recipes/food/views/cold-asian-noodle-salad-with-chicken-and-cucumbers-56389799,60%,Cold Asian Noodle Salad,3.0,"This sweet and spicy pasta salad features chicken—use leftovers or grab a rotisserie chicken at the store. Make it for dinner tonight, or pack it up for lunches—it’ll be just as good tomorrow.",recipe
/recipes/food/views/cucumbers-with-scallions-and-chili-oil-56389645,0%,Cucumbers with Scallions and Chili Oil,0.0,Why waste time with a knife? A simple whack to a cucumber yields jagged surfaces eager to soak up this tangy dressing.,recipe
/recipes/food/views/strawberry-cucumber-salad-with-lemon-cream-56389861,100%,Strawberry-Cucumber Salad with Lemon Cream,4.0,Strawberries and cream...and cardamom. The cooling spice and cucumbers give berries an element of intrigue.,recipe
/recipes/food/views/ginger-dill-pickles-56389773,0%,Ginger-Dill Pickles,0.0,"These herbaceous pickles combine spicy ginger with bright dill. Although cucumbers are classic, cherry tomatoes or green beans would also work well in this brine.",recipe
/recipes/food/views/sweet-and-sour-pickles-56389775,100%,Sweet and Sour Pickles,2.0,"These spiced-packed pickles are the perfect combination of tart and sweet, great for pre-dinner snacking or to top a sandwich. Yellow squash is delicious, but the brine also works well with cucumbers, zucchini, onions, or mushrooms.",recipe
/recipes/food/views/charred-romaine-greek-salad-with-quinoa-crusted-feta-56389585,100%,Charred Romaine Greek Salad With Quinoa-Crusted Feta,4.0,"I live in New York, where Greek salads are a reliable diner staple. I love the combination of briny Kalamata olives and salty feta cheese mixed with crisp romaine lettuce and refreshing cucumbers. This somewhat deconstructed, twenty-first century version applies the ""warm goat cheese salad"" method to a Greek salad, coating fresh feta slices in egg wash and quinoa and then pan-frying. The result is incredibly delicious—and as good as it looks in the picture!",recipe
/recipes/food/views/-lentils-with-cucumbers-chard-and-poached-egg-51260640,100%,"Lentils with Cucumbers, Chard, and Poached Egg",3.5,"Start your weekend mornings right with this healthier, more delicious breakfast bowl.",recipe
/recipes/food/views/all-green-salad-with-citrus-vinaigrette-56389342,77%,All Green Salad with Citrus Vinaigrette,3.5,"This all-green salad is studded with creamy avocado, crunchy cucumbers, and asparagus, and punctuated by tons of fresh dill and basil. The varied shades of green look like spring in a bowl.",recipe
/recipes/food/views/crushed-cucumbers-with-lime-pickle-and-coconut-51248470,0%,Crushed Cucumbers with Lime Pickle and Coconut,0.0,"If you haven't cooked with MSG before, give it a try.",recipe
/recipes/food/views/grilled-sichuan-cumin-lamb-chops-with-quick-pickled-cucumbers-51239210,0%,Grilled Sichuan Cumin Lamb Chops with Quick Pickled Cucumbers,0.0,,recipe
/recipes/food/views/moroccan-vegetable-salad-51230210,100%,Moroccan Vegetable Salad,4.0,"An easy and fresh alternative to traditional green salads, this chilled North African-inspired dish combines potato, bell peppers, cucumbers, and olives with a light and tangy vinaigrette. Simple to prepare, it's great to double or triple for potlucks or group meals. Serve with the salad spread out on a large platter to let the colors and shapes of the ingredients shine. Make extra dressing to reinvigorate leftovers the next day. For a pretty variation, serve the salad garnished with sliced or diced cooked beets.",recipe
/recipes/food/views/katchkie-farm-cool-cucumber-yogurt-soup-51189810,0%,Katchkie Farm Cool Cucumber Yogurt Soup,1.0,"This soup is about as easy as opening a can, and it is especially good for lunch on a hot day or poured out of a thermos at a picnic; it is so refreshing and satisfying. And if you have cucumbers in your garden, here is a way besides salad or pickles to use your bounty. This recipe can easily be doubled.",recipe
/recipes/food/views/shirazi-salad-51169570,100%,Shirazi Salad,3.5,"For this juicy, herbaceous salad, feel free to combine different varieties of cucumbers and tomatoes, which are at peak season around the same time.",recipe
/recipes/food/views/naamas-fattoush-51115620,100%,Na'ama's Fattoush,4.0,"Arab salad, chopped salad, Israeli salad—whatever you choose to call it, there is no escaping it. Wherever you go, a Jerusalemite is most likely to have a plate of freshly chopped vegetables—tomato, cucumber, and onion, dressed with olive oil and lemon juice—served next to whatever else they are having. It's a local affliction, quite seriously. Friends visiting us in London always complain of feeling they ate ""unhealthily"" because there wasn't a fresh salad served with every meal.
There are plenty of unique variations on the chopped salad but one of the most popular is fattoush, an Arab salad that uses grilled or fried leftover pita. Other possible additions include peppers, radishes, lettuce, chile, mint, parsley, cilantro, allspice, cinnamon, and sumac. Each cook, each fmily, each community has their own variation. A small bone of contention is the size of the dice. Some advocate the tiniest of pieces, only 1/8 inch / 3 mm wide, others like them coarser, up to 3/4 inch / 2 cm wide. The one thing that there is no arguing over is that the key lies in the quality of the vegetables. They must be fresh, ripe, and flavorsome, with many hours in the sun behind them.
This fabulous salad is probably Sami's mother's creation; Sami can't recall anyone else in the neighborhood making it. She called it fattoush, which is only true to the extent that it includes chopped vegetables and bread. She added a kind of homemade buttermilk and didn't fry her bread, which makes it terribly comforting.
Try to get small cucumbers for this as for any other fresh salad. They are worlds apart from the large ones we normally get in most supermarkets. You can skip the fermentation stage and use only buttermilk instead of the combination of milk and yogurt.",recipe
/recipes/food/views/spiced-cucumbers-and-coconut-milk-395924,67%,Spiced Cucumbers and Coconut Milk,3.5,"""Nobody thinks to cook cucumbers, but I treat them as I would any vegetable""",recipe
/recipes/food/views/carrot-and-yogurt-sauce-395932,100%,Carrot and Yogurt Sauce,3.5,Use this orange-tinted sauce on sandwiches with salmon or cucumbers.,recipe
/recipes/food/views/cucumber-and-radish-salad-395895,0%,Cucumber and Radish Salad,1.0,"Michael Lindley, Public House, Chattanooga: ""Cucumbers are great in picnic food, something you can take with you anywhere.""",recipe
/recipes/food/views/cucumber-and-avocado-salad-395438,88%,Cucumber and Avocado Salad,3.5,"Sprinkle salt and sugar on produce like cucumbers, tomatoes, or berries (hold the salt!); let stand for 20-40 minutes. This process, also called maceration, draws out the juices, creating a natural sauce.",recipe
/recipes/food/views/cucumber-aloe-cocktail-366715,0%,Cucumber-Aloe Cocktail,2.0,"""Here's a summer cocktail that isn't too herbaceous or vegetably,"" Kinch says. ""Aloe juice goes well with cucumbers, and Hendrick's Gin adds nice rose and cucumber notes.""",recipe
/recipes/food/views/roasted-cucumber-sandwiches-366725,80%,Roasted Cucumber Sandwiches,3.5,"""This is a play on English cucumber finger sandwiches,"" says Kinch, who roasts the cucumbers to deepen their flavor. ""It also works fantastically on the grill."" Use any cucumber, such as Japanese, Persian, or English hothouse, available at supermarkets and farmers' markets.",recipe
/recipes/food/views/cucumber-basil-egg-salad-364869,73%,Cucumber-Basil Egg Salad,3.0,"The glories of summer are captured in this pale green egg salad redolent of fresh basil, green onions, and crunchy cucumbers. Serve it surrounded by greens or tucked into pita loaves or slices of crusty bread for a satisfying lunch.",recipe
/recipes/food/views/persian-cucumber-and-purple-rice-salad-354964,67%,Persian Cucumber and Purple Rice Salad,3.0,"Juicy, crunchy cucumbers lighten the starch in a rice salad, and lemony coriander accentuates the citrus in the vinaigrette. So-called Persian cukes seem especially beautiful against a background of exotic purple jasmine rice. This is a party dish for which, no doubt, you will become justly famous.",recipe
/recipes/food/views/salmon-with-snap-peas-yellow-peppers-and-dill-pistachio-pistou-354297,95%,"Salmon with Snap Peas, Yellow Peppers, and Dill-Pistachio Pistou",4.0,A chunky pistou with full pistachio flavor adds depth to this fresh salmon dish. Want even more vegetables? Slice lemon cucumbers (a wonderful farmers' market variety that looks somewhat like a yellow tomato) and add a squeeze of lemon juice and a pinch of dill to make the perfect starter.,recipe
/recipes/food/views/lettuce-wraps-with-smoked-trout-354304,78%,Lettuce Wraps with Smoked Trout,3.0,"In this handheld treat, carrots, cucumbers, and smoked trout are tossed in a hot, sweet, and tangy sauce. For a simple side, steam some plain or sticky rice in the microwave, then chill it and mix in some chopped green onions, chopped fresh mint, lime juice, chili-garlic sauce, and a touch of soy sauce or fish sauce. For dessert, serve mango sorbet or fresh pineapple and mango slices.",recipe
/recipes/food/views/grilled-lime-curry-rubbed-hanger-steak-with-fresh-melon-cucumber-chutney-353669,100%,Grilled Lime-Curry-Rubbed Hanger Steak with Fresh Melon-Cucumber Chutney,4.0,"Melons and cucumbers have a real affinity—they're related, after all. Here, they come together in a cool, uncooked chutney, which cuts the robust richness of thinly sliced hanger steak.",recipe
/recipes/food/views/cucumber-kimchi-oi-gimchi-353209,100%,Cucumber Kimchi (Oi Gimchi),2.5,"A popular kimchi enjoyed in the summer, this dish is a good example of the ying and the yang in Korean cuisine. The coolness of the cucumbers is balanced with the spiciness of the chile powder. Even in the fermentation process, the cucumbers stay nice and crisp. You'll need a 1/2-gallon glass jar to hold the cucumbers.",recipe
/recipes/food/views/grilled-chicken-salad-with-radishes-cucumbers-and-tarragon-pesto-352032,88%,"Grilled Chicken Salad with Radishes, Cucumbers, and Tarragon Pesto",3.5,A lovely taste of spring.,recipe
/recipes/food/views/sweet-cucumber-and-radish-salad-241171,56%,Sweet Cucumber and Radish Salad,2.0,"Like it or not, cucumbers and radishes have become virtually seasonless. Here, they provide a lively, refreshing counterpoint to the meal's overall richness. What's more, the whole dish can be put together in mere minutes.",recipe
/recipes/food/views/cucumber-dill-soup-with-scallions-352429,63%,Cucumber-Dill Soup with Scallions,3.0,"This is one of my favorite soups. It has to be served really cold so that you can appreciate the buttermilk and yogurt tang and the sharpness they add to the cucumbers. The Tabasco is optional, but I recommend it to give a little kick at the end; it won't register as spicy, but you'll miss it if it's not there.",recipe
/recipes/food/views/tomato-and-watermelon-salad-352389,81%,Tomato and Watermelon Salad,3.5,"If the idea of tomatoes and watermelon together sounds odd to you, this dish will be a revelation. There is a saying that what grows together goes together, and in this case it is true. If you think of tomatoes as a fruit, which they are botanically, this combination makes more sense. Seasonality, however, is the key. I make this salad only in the summer, when tomatoes, watermelon, and cucumbers are at their peak of flavor. Rich, creamy Hass avocadoes are included to lend a nice contrast of flavor and texture. I always toss this salad together before serving, but for the photo opposite I was inspired to create a painstaking mosaic of the ingredients. If you're so inclined, feel free, but don't say I didn't warn you—it takes a lot of time.",recipe
/recipes/food/views/cucumber-apple-pickle-351891,86%,Cucumber Apple Pickle,3.0,"Korean tables—both in restaurants and at home—are always set with a series of banchan, or little dishes that can be eaten alone, with rice, or as an accompaniment to the main course. To keep things lively, banchan should run the gamut of tastes and textures, and this particular pickle really sparkles: It is sweet, tart, crisp, and fresh. Salting the sliced cucumbers and then squeezing out their excess water allows them to fully soak up the pickling mixture.",recipe
/recipes/food/views/minted-green-salad-351132,100%,Minted Green Salad,3.0,"Fresh mint and sliced cucumbers give this American-style salad a lightness that leaves you feeling satisfied, not stuffed.",recipe
/recipes/food/views/cucumber-salad-350881,92%,Cucumber Salad,3.5,"Forget fuss—the key to this recipe is leaving everything alone. Tossing cucumbers with salt and then letting them drain prevents their moisture from diluting the flavors of the finished dish. A long, unattended marination enhances the sweet-sour blend of sugar and white vinegar that makes this salad especially refreshing.",recipe
/recipes/food/views/shrimp-skewers-with-tzatziki-spinach-and-feta-242967,94%,"Shrimp Skewers with Tzatziki, Spinach, and Feta",3.0,"Tzatziki is a popular Greek sauce made from yogurt, cucumbers, garlic, and dill. Here we've subbed in shallots for garlic and used it to top skewers of shrimp. Serve any leftovers with pita chips, as a substitute for mayo on roast chicken sandwiches, or as a sauce for grilled lamb.",recipe
/recipes/food/views/cucumbers-with-wasabi-and-rice-vinegar-242292,100%,Cucumbers with Wasabi and Rice Vinegar,3.5,"The Japanese are wild about pickles, pickling practically every vegetable and root they come across—and in sweet, salty, sour, and bitter incarnations to boot. In this classic, a hit of wasabi powder adds a subtle heat to these savory quick pickles.",recipe
/recipes/food/views/pork-belly-buns-240258,68%,Pork-Belly Buns,3.5,"We knew Chang was something special the minute we tasted his signature dish. He plays with the classic Chinese pork bun, retaining its pillowy white wrapping, adding crisp cucumbers and scallions, and transforming it into an American original with pork belly. Make them at home, and the first bite will prove they are worth the effort.",recipe
/recipes/food/views/quick-spicy-asian-pickles-238544,100%,Quick & Spicy Asian Pickles,4.0,The flavors get stronger the longer the cucumbers marinate.,recipe
/recipes/food/views/cucumbers-and-dill-in-horseradish-cream-238067,100%,Cucumbers and Dill in Horseradish Cream,3.0,,recipe
/recipes/food/views/cucumber-noodles-237668,50%,Cucumber Noodles,2.0,"Cooking cucumbers takes them out of the salad realm, transforming them into a side dish that's perfect with fish or white meat. Perked up with mint and lemon, they're as refreshing as ever.",recipe
/recipes/food/views/shark-and-bake-234799,88%,Shark and Bake,3.5,"""Shark and bake,"" a popular Trinidadian pocket sandwich, is found at beach shacks and street stalls throughout the island. Part of its appeal is the variety of go-withs, from mango chutney to sliced cucumbers. ""Bake"" is a catchall term for several types of bread, grilled or fried.
Since blacktip shark — the traditional choice — is not readily available, catfish or tilapia fillets are substituted here. Pita pockets are a stand-in for the flatbread that's typically used to make the sandwich.",recipe
/recipes/food/views/japanese-cucumber-salad-with-miso-dressing-235823,50%,Japanese Cucumber Salad with Miso Dressing,3.0,Imrov: Use fresh lemon juice instead of yuzu juice; try English hothouse cucumbers in place of the Japanese variety.,recipe
/recipes/food/views/chilled-radish-buttermilk-soup-235443,82%,Chilled Radish Buttermilk Soup,2.5,,recipe
/recipes/food/views/grilled-gazpacho-salad-with-shrimp-235333,88%,Grilled Gazpacho Salad with Shrimp,3.5,"All of the ingredients that make gazpacho so yummy — tomatoes, onions, cucumbers, and bell peppers — turn up in this main-course salad.",recipe
/recipes/food/views/pan-cooked-bass-with-dill-and-cucumber-234985,92%,Pan-Cooked Bass with Dill and Cucumber,4.0,Cucumbers provide visual appeal and help keep the fish fillets delightfully moist.,recipe
/recipes/food/views/chief-of-staff-cholent-hebronite-hamim-231758,67%,Chief of Staff Cholent (Hebronite Hamim),3.0,"Editor's note: The recipe and introductory text below are excerpted from Joan Nathan's book The Foods of Israel Today. Nathan also shared some helpful cooking tips exclusively with Epicurious, which we've added at the bottom of the page.
To read more about Nathan and Israeli cuisine, click here.
According to the Ten Commandments, ""On the seventh day thou shalt rest,"" which means that no cooking can be done on the Sabbath. This tradition is the reason Israel is truly the center of the world for cholent, an overnight stew. Almost all Jewish families have brought their own unique versions — with Hungarian smoked goose breast, Brazilian black beans, Moroccan rice, Bukharan turkey giblets and raisin-stuffed cucumbers, or Polish barley and meat. A dish that has experienced a rebirth even among secular Israelis in the last few years, cholent is often served as a centerpiece main course for parties, usually blending several traditions in one exciting creation.
Eons ago, needing a dish that could be kept warm for the Sabbath, Jewish cooks came up with an overnight stew, the ingredients for which varied depending on where they lived. The stew was tightly sealed, often with a paste-like dough, and cooked before the Sabbath began, then left overnight in the embers to warm until the next day. During World War II, before Israelis had proper ovens, the cholent often was simmered over the small flame of a kerosene stove, the lid covered with two heavy bricks.
The word cholent comes from the French chaud, meaning ""warm,"" and lent, meaning ""slow."" In Israel, it is also called hamim, Hebrew for ""warm."" Like outdoor grilling, preparing cholent seems to have become the Israeli man's domain. It is served on every Israeli army base on Saturday, even in small military units on their own at lookout posts throughout the country, since the army, which officially observes the dietary laws, must serve a traditional Sabbath meal.
This Hebronite hamim recipe was given to me by Amnon Lipkin Shachak, a former Israeli army chief of staff. He combines the Ashkenazic basic beans and barley with Sephardic sausages and the long-cooking eggs in their shells called huevos haminadav to make an innovative Sabbath dish from Hebron, the city from which part of his family hails. According to him, the recipe changes each time he makes it, depending on what he can find in the cupboard. This version requires kishke (a traditional delicacy made of flour and fat stuffed into sausage casing, today obtainable from Jewish specialty stores) and the robust and highly aromatic eastern Mediterranean spice combination of baharat (see Tips, below).",recipe
/recipes/food/views/kibbutz-vegetable-salad-231756,100%,Kibbutz Vegetable Salad,3.5,"Editor's note: The recipe and introductory text below are excerpted from Joan Nathan's book The Foods of Israel Today. Nathan also shared some helpful cooking tips exclusively with Epicurious, which we've added at the bottom of the page.
To read more about Nathan and Israeli cuisine, click here.
Sometimes called Turkish Salad, this typical Israeli salad, served at almost every meal, has many variations. But one thing remains the same: the tomatoes, onions, peppers, and cucumbers must be cut into tiny pieces, a practice of the Ottoman Empire. Two types of cucumber are common in Israel: one, like the Kirby cucumber, goes by the name of melafofon in Hebrew and khiyar in Arabic; the other, called fakus in Arabic, is thinner, longer, and fuzzy, and is eaten without peeling.",recipe
/recipes/food/views/hibiscus-flower-water-201231,100%,Hibiscus Flower Water,3.0,"Agua Fresca de Jamaica
Mexico has a wonderful variety of sweetened flavored waters known as aguas frescas, which are sold at street stands and marketplaces throughout the country. They are made from citrus fruits, melons, cucumbers, even the sweet-tart pulp of tamarind pods. But among the most popular is this one, made by steeping the dried, deep crimson calyxes of the hibiscus flower. This slightly tart, garnet-colored beverage is incredibly beautiful and refreshing. Piloncillo, the unrefined brown sugar used in traditional rustic desserts, adds a mellow, molasses-like sweetness.",recipe
/recipes/food/views/layered-pickled-herring-salad-with-tart-apples-and-red-onion-3004,100%,Layered Pickled Herring Salad with Tart Apples and Red Onion,3.5,"One of the layers in this delicious salad is lightly pickled sweet-and-sour cucumbers, a favorite throughout Denmark. They do need to marinate overnight, so make sure you start this recipe a day ahead of time.",recipe
/recipes/food/views/sour-cream-cucumbers-20073,90%,Sour Cream Cucumbers,3.5,,recipe
/recipes/food/views/crunchy-chicken-salad-with-shiitake-mushrooms-spicy-sesame-dressing-and-peanuts-101251,89%,"Crunchy Chicken Salad with Shiitake Mushrooms, Spicy Sesame Dressing and Peanuts",3.5,"Cabbage, cucumbers, carrots, and lots of fresh mint accent the salad. Offer chilled beer or a fruity white wine alongside.",recipe
/recipes/food/views/sauteed-cucumbers-with-cumin-and-mint-12413,0%,Sauteed Cucumbers with Cumin and Mint,1.0,Can be prepared in 45 minutes or less.,recipe
/recipes/food/views/sweet-and-sour-cucumbers-with-fresh-dill-109713,98%,Sweet-and-Sour Cucumbers with Fresh Dill,3.5,This refreshing dish can be prepared and chilled two hours before serving.,recipe
/recipes/food/views/green-papaya-salad-with-shrimp-10520,100%,Green Papaya Salad with Shrimp,3.5,"Green papaya salad in all its regional variations - often flavored with pork, beef, or shrimp (as below)-is hugely popular throughout Southeast Asia. The dish is made from unripe Southeast Asian papayas, which have firm white flesh and white seeds. The current popularity of Vietnamese and Thai food in the United States has increased these papayas' availability, although it is still generally limited to Asian markets. Such papayas can grow to the size of cantaloupes or larger and range in shape from oval to round. Look for rock-hard dark green fruit without a trace of pink or yellow blush. If you don't see any, ask (some shopkeepers do not display them).
Those who can't find the right kind of papaya might skip the salad or substitute seedless (European) cucumbers despite the repetition with the main course. Those who can find Southeast Asian green papayas will be treated to a salad that our food editors found irresistible.",recipe
/recipes/food/views/southeast-asian-style-turkey-burgers-with-pickled-cucumbers-101071,90%,Southeast Asian Style Turkey Burgers with Pickled Cucumbers,3.5,This recipe can be prepared in 45 minutes or less but may require additional sitting time.,recipe
/recipes/food/views/basil-tabbouleh-12521,78%,Basil Tabbouleh,3.0,Herbed-Bulgur Salad with Tomatoes and Cucumbers,recipe
